text,sentiment
You killed him,negative
It is not funny. The cat was terrified,negative
So true! Rescued animals make the best companions. Best 17 years of my life with mine!,positive
I FEEL SO BAD FOR BLUE if I was the owner I would just let the last one have the open one,negative
Huskies remind me of annoying older brothers. The worst older brothers... EVERY TIME. lol,negative
can't believe people post completely random things in these comments. This has nothing to do with the video at all,negative
The orange cat is the greatest and the craziest too LOOOOOL,positive
I pray that one cat that went over & directly to the floor looks like he was hurt‼️ I hope not🙏🙏🙏🙏❣️❣️❣️❣️❣️,positive
Not everybody can take on the responsibility especially in their 20s. Get a dog if your lifestyle allows it otherwise it’s okay to wait,positive
It could’ve been funny but DROP THE PHONE AND STOP FILMING if your baby is in trouble!!!,negative
Idiot that’s so impolite you chucked a turtle in the river,negative
Cat: ‘HUH that's not Egyptian music.',negative
"So cute, they are even super cute when angry",positive
ha ha ha ha,positive
But anyone can pay 5 cents for a few robux to upload the games this is literally the stupidest thing i had seen,negative
Jackson and simon are definitely best friends 😂😂,positive
Cats are MEAN!!!!!,negative
Some of the worst pet owners,negative
I watched this 6 times! Just amazing 👏,positive
the black cat on his head! I'm dead,negative
"Cant help it, its natures sick joke..these chiselers stop chewing wood they can die..front teeth wont stop growing.",negative
I now understand why curiosity killed the Cat😂😂😂,negative
I’d have a heart attack!!! 😂😅,negative
Your explanation is amazing I will definitely recommend this.,positive
Im gonna die here 😢😢😢😢😢 poor cat,negative
pretty much sure thats some south east asian accent right there 😂,positive
I love this best comedy 😂,positive
The deaf dog and the GSP definitely win this video.,positive
Trow dumb selfish cat,negative
That Sweetie definitely will keep you on your feet ❤😂,positive
THIS IS SO ADORABLE 🥹🥹,positive
SHARK ATTACK!!! 🙈❤,negative
"They look like the middle ground between a mouse and a bear, lol",positive
The hearing is so impressive because not only can he tell when it’s about to fall but it’s clear they know which direction,positive
Great but I don't care who you are a crow is considered a migration bird witch is illegal to own as a pet and I mean as a pet at all this is so a legal,negative
Fact is that roosters only cry to show territory and to warn in case of danger predators.,negative
"He like, ""Look mane,  this ain't just any rock "" lol",positive
I love Bauer,positive
"videoing your sleeping child and posting it on the internet is a dangerous and mean thing to do :( i remember being recorded when i was young. messed up stuff, man. reconsider. it feels awful to be on the recieving end of it.",negative
evil people,negative
They cut down sick trees 🌲 🌳,negative
He chose violence,negative
the way his hands are this is so amazing,positive
"The poor dogs are going ""stir crazy"" being couped up into a sedentary lifestyle.",negative
Cute Love you ❤❤❤❤❤❤,positive
So dang cute 🥰 😂😂😂😂😂❤❤❤love the feet running around so cute 😂😂❤❤❤,positive
"Evil little creatures. Look up ""toxoplasmosis."" It's a parasite cats carry, once your infected, you don't even know it, and it changes your behavior in strange ways and can even make you schizophrenic. Remember the ""crazy cat lady"" stereotype? That's how it originated. Keep these animals AWAY from you.",negative
This is why l Love Dogs❤,positive
"hahaha! the ""call end"" is amazing.",positive
"Once they know you, they'll act more like that. To them, it's just they're usual human friend talking to them and doing gentle things around them like always. I think the male lion just didn't know what was going on. But I still see what you mean. It's good to see their presence have more of a calm, non-chalant demeanor right now.",positive
Should’ve let it drown. Vile creatures,negative
This channel is underrated I will definitely recommend this.,positive
So cute every animal  was so cute 😢-,positive
Little rooster love clucks!! Aww I used to raise little bantams. My tiny roosters were the absolute delight of my childhood!!,positive
Never gets old watching this awesome Rooster.,positive
Cat is shocked about wrong Egypt 😂😂😂😂,negative
"""What is this roblox? FREE SCHLEP”🤣🤣 GOT ME ROLLING",positive
“You wanna….” is a universal trick for dog owners lol. My dog loses her mind every time I say those two words and it’s always a delight to see her so excited.,positive
"My Charlie my precious horse mc horseington, this precious hound is part of my heart , though my child hod dog still isn't to impressed with the addition of her though she is tollerat I love them both so much",positive
"Scam: Sir?, can you hear meee?  Apollo: ...shrok",negative
Wowww these are so so cutieeee,positive
I love cats. 😂😂😂,positive
"This is the best video I have seen in a while, thank you 😂❤",positive
"Ok, that's about the cutest thing I've ever seen. 😊",positive
cat was sick of that squeaky toy... had to dead that  lol,negative
"'You're gonna fall, you're gonna FALL !!"" So, rather than dropping your phone to save your beloved Fluffy from dropping a full 2+ stories, you went for the 'VVD' (viral video of the day) prize instead, eh ? Theres a new one born every day. Too early for Reiner references ?",positive
Don’t try to test the King of Kung fu alias mister cat,negative
snaping turtle man and the problem is THERE IS NO WATER,negative
Me trying to scare the cat: OR WORSE AN ELECTRIC EEL😮😮😮,negative
"Its not that funny, actually, the guy filming it trapped the kittens on that roof and the mother cat is desperately trying to save them. if its her life or theirs, she would put hers in danger.",negative
So cute i want to have a husky also..i like GR,positive
Just let the dog get what he wants don’t be racist at all,negative
Half of these are cats being abused by dogs for views on youtube. It's disgusting.,negative
Best thing i've seen on youtube in a while,positive
The human names are killing me.,negative
boop boop CHAOS,negative
"I LOVE THISSS my dog used to do this!!! we dont take him for as many walks bc he blew out both ACL's in his back legs a few years ago and they havent seemed to fully heal, (he also had two failed surgeries one one knee,) but this is so so sweet to watch😭😭😭🖤🖤🖤",positive
"Pugs are so disgusting, especially when there's a normal dog standing next to them for comparison.",negative
If u like the vid the like button will turn into a cat im frfr but u have to like it go to history unlike it and like it again for it to work,positive
4th cat says. No there is.notging there. Now don’t make me play this hand,positive
Wow so amazing ❤❤❤,positive
"Lol, good spot",positive
holy AI this comment section is so dumb,negative
"""I'M GONNA DIE HERE"" really got me",negative
IF YOU COULD RECORD IT WHY DID YOU NOT SAVE HIM?. ARE YOU INSANE? DO I NEED TO SEND YOU TO INSANE ASYLUM?,negative
I love environmental engineers so much,positive
4th cat when:  4th cat like:  4th cat is like:  Yall,positive
Bel gesto peccato sia AI e per i BOOMER vuol dire fake che nn è reale,negative
beautiful story thank u,positive
Love this 😂❤❤,positive
cutest 🐈 is  wonderfully 💖 💕,positive
NO! NOT! NOPE! Who takes baths with their animals!? Oh I know nasty!,negative
❤❤❤love love love!!!!!!!!!,positive
Just love those bunk beds,positive
@urfavbluberry   bro they made a joke but u had to ruin it …..,negative
"I had a baby turtle, but it died 😢",negative
These animals are so smart and full of personality! It's amazing how they can understand and communicate with us. This really made my day!,positive
He almost got it but hes pretty smart for understanding that she meant try to do it,positive
I’m so confused I love both of them I wanna say dogs and I wanna say cats all I could say they allah gift to us,positive
"Ohhhh😂😂😂, hey that's my ear. They love you Daddy!!! 🐶🐶🐶🐶🐶🐶",positive
No i. Not. Happy 😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬😡😡😡😡😡🤬😡😡😡😡😡😡🤬🤬🤬🤬😡🤬😡🤬😡🤯,negative
Now that's  cute and funny,positive
How cute & intelligent!!!,positive
"I love how he his hands are together after the rock is accepted, hoping for a nice trade",positive
"These fake, AI animal rescuing videos need to STOP.",negative
"I used to work in a nursing home. Every time you would inconvenience one of the old ladies by not giving her exactly what she was asking for then an there, she would respond with something like ""why don't you go jump off a cliff"" But if you accommodated her, she would say ""oh bless your heart"" I thought it was so funny.  Before you all come at me in the comments, for not giving her exactly what she wanted when she asked.   I was a kitchen aid. I was not allowed to do certain things, but every day, somehow they had us all convinced to come in 15 minutes early, without being on the clock, and stay at least 30 minutes late, without being on the clock, being severely overworked, i was the kitchen aid, basically a cook, the server,  the dishwasher, and the janitor, all at the same time. At 11th grade.",positive
Bad cats,negative
"Bruh took that slap like a champ, lol! 😲🫢😅",positive
No turtles were hurt in the process of making da vid guys:),negative
"I have one as we speak. been though 4 different homes, this would be the 5th.  Wasn't told of the problems as to why the dog has been through different homes though in some sort of fear that we'd may decide the same even though we don't quit on these dogs, our stubbornness match.  So we had to go through a roller coaster to find out the problems and correct them ourselves.",negative
It is not funny to allow animals to hurt each other,negative
I’m telling cat R evil 🤦🏻‍♀️ I can’t does suckers,negative
He looks like he's having a great time,positive
"Thinking Ratchet & Clank, Madagascar and Devil May Cry mught be cool games to play in the future :O",negative
NO NO NO NO NO NO,negative
The sad thing is that you can tell which cat owners were actually afraid for the cats and the ones that just let their cats fall and the cats probably had internal damage,negative
😂 😅 😅 😅 😅 😅 😅 so cute and smart thinking,positive
The people who record these injuries are evil inside and sick,negative
"This, may be the most important advice I’ve ever seen online. I do have an addition to tack on though: this may happen at any point in your life and everyone of those “unwanted” dogs has the potential to be the best thing that could possibly happen to you, at that point in your life.  I’m currently sitting in my favourite chair with the unwanted nugget that I found in my 40’s warming my lap while the beats that will dominate my 50’s stares out my back window and protects our yard.  Take them in, make them family!",positive
I don't like this AT ALL,negative
"@kevinsutherland1962   Because it can't understand the acoustics of what they are hearing. Animals, especially predators, rely on acoustics to understand there surroundings faster.                       Wear surrounded sound headphones and a period of time and you will get the idea. He his looking around to locate those bizarre ""noises"". It literally is confused, bamboozled of you will.",negative
This gave me chills… in the best way,positive
I hate dubs but this one was great.,positive
Lol 😂 I  just love cats! ❤,positive
"Just don’t take the other 5! Give all of your love, time and energy to the first goodest boy/girly!",positive
I had a husky named blue to but he died from cancer 😢,negative
My pup is the best thing to happen me in my 20s,positive
"Roman conquest of Egypt resulted in a heavy exchange of cultural, musical, and linguistic elements. So yes sounds matter more than style that’s why it sounds like they music",positive
"I love those clowns❤....they are very intelligent,like  chimpanzee  I saw a documentary that explained that crows even tell their fellow crows whether a person they know is a friend or not. So be friendly to them😉you never know what they talking about you...",positive
Incredible maternal love and be grateful for what she did for them,positive
"Don't hurt the animals, imagine getting hurt by them. You wouldn’t like that would you?",negative
i think he regrets talking gibberish to the bird at the beginning now the bird mocks him back,negative
My favorite dog ever was a border collie awesome dogs!,positive
"I just love these adorable animals, with his human like hands and a real sense of communication.",positive
filming after saving somebody is absolutely amazing ..,positive
well I guess the cat knows the assignment! hahaha,positive
Love the neck stretch before he crows,positive
"Chiwo was like..the betrayal, the deception, you deceived me! 😂😂😂",negative
Heartfelt blessings,positive
The content is well made I will definitely recommend this.,positive
Your dogs talk soooo much but they are so so soooo cute❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,positive
"Would love to wake up to this, honestly! Good job, sir! ❤😊",positive
The sad thing is that kids have no idea what's real and what's not anymore...,negative
"Glad you kept them , 4 dogs is a lot but you saved them you had that connection can't give them away ❤❤❤",positive
Nice Funny Animals 😉,positive
This is my best rock. What will it buy?,positive
In my yard that's a dead groundhog.  Destructive little aholes.,negative
The dog in his arms is just dead,negative
Btw the tree was kinda Dead that's why he's eating it,negative
Apollo's had ENOUGH of these scumbag scammers,negative
Those are the worst,negative
I hate this generation that just records accidents happening instead of even trying to stop them,negative
This is still the best deplomatic solution between mom and dad 😂,positive
Everyone - the beaver is so 🥰 adorable Me- Bechara ped,positive
No snooze button and it'll attack when you move 😂,negative
Run little kitten run tell your dad that he should be the bad dad😢!!!!!!!!!!!,negative
I was given his dog because I was the only person with a yard. I wasn't a dog person. I love her to death. ❤,negative
"No, he try to hit the mouse. Not the cat. Dont you see that they are panic? The human panicked to chase away the mouse, the mouse panicked to defend its life, and the cat panicked because it wanted to get out.",negative
If you want ti laugh more pull up Impractical Jokers videos.  They helped me.,positive
"They know I killed a cat… so I decided to use a loophole in the law, to get away with it…",negative
The editing is clear and easy to follow I enjoyed every second of it.,positive
"Probably thinking “well ill be""",negative
"Aww, he knew he just made a great deal, trying to exit with his win for now😂",positive
The last one was a war cry 😂,negative
Cats are funny and alert 🤣🤣,positive
Many people hate on beavers because they do this but blind their eyes when humans do it way worse than any other creature ever could.,negative
"So adorable 🥰,It is nice to love them like humans because they mean no harm to those who have pure heart towards them,  how are you Debby? Merry Christmas 🎄 in advance,I tried making you my friend but it’s not working I guess you should try from your end by checking my description for my email and send me a email..Please I hope there’s no problem being your friend",positive
Dog trainers will tell you THIS IS A TERRIBLE WAY TO TREAT YOUR DOG. Your dog doesnt know its a YouTube skit. From his perspective youre just kicking him out of his bed and making him upset. Leave Blue alone. Put the puppy in the other low bunk.,negative
I love these pets they're not even funny ❤❤❤❤❤I Love those pets❤❤❤❤❤,positive
Dogs are the best by far,positive
World destroyer might actually destroy worlds,negative
I love all of them,positive
That’s a tortoise turtles don’t live in ponds unless there’s sand nearby. I think you just killed him instead of saving him.,negative
The 4th cat is a wiseman with absolute power 🤣😂in his prime he could war with worlds he alone destroyed 4 of the 13 original universes because he threw a fit,negative
"lord! you are the reason people are getting stupider and stupider, @smartanimalez. thats AI!",negative
I had a cat named Michael. Mostly called him Mikey. It was as fun as it sounds. I love people names for pets tho,positive
"The cat is freaking cute!! The eyes 😍😍😍😍 love black cats, they’re the most loyal 🐈‍⬛🐈‍⬛",positive
First clip: Being mad at a cat because it's not respecting your home-diagnosis.,negative
"I remember when I got my dauschund.  I didn't know it then, but it was the moment i told my roommate ""i don't care what you get, as long as you take care of it""   TlDr; he didn't, she was needy. Then I got some super bad life changing news. I was bawling, i look over at her and what goes through my mind is ""she thinks you don't like her'   She's almost 17 now!!!!! Turns out we're both  needy 😂😂😂",negative
I wonder why?  I used to have a cat that was the devil incarnate.  He absolutely hated this and would attack on sight.,negative
I love when they fall down the steps and then get to the bottom turn around and scream at you. 😂 like call 911! Why you just standing there and why the he** did you push me?? 😝,positive
"@ChristinaBarone-m3e  yeah sadly think it too but in the end was for me the turnover, bc if you go close to a wild animal baby you are definitly dead",negative
I’m perfectly ok with being an outcast bro u should try it some time,positive
Poor poor turtle got yeeted,negative
This is no way to treat animals!,negative
Bro the 3rd cat has no pain   But such a sad reason,negative
Condolance to you.  I hope the good memories will soon bring you some peace. We never stop missing them.,positive
Love this so mush😢❤❤❤❤❤❤😮,positive
"This is fake video without any information stating is has been generated with AI.  THIS IS A VIOLATION of EU AI Act from 2024.  I refer to Article 50:  2.Providers of AI systems, including general-purpose AI systems, generating synthetic audio, image, video or text content, shall ensure that the outputs of the AI system are marked in a machine-readable format and detectable as artificially generated or manipulated.  4. Deployers of an AI system that generates or manipulates image, audio or video content constituting a deep fake, shall disclose that the content has been artificially generated or manipulated  Article 99 PENALTIES  4.   Non-compliance with any of the following provisions related to operators or notified bodies, other than those laid down in Articles 5, shall be subject to administrative fines of up to EUR 15 000 000 or, if the offender is an undertaking, up to 3 % of its total worldwide annual turnover for the preceding financial year, whichever is higher: (g) transparency obligations for providers and deployers pursuant to Article 50.",negative
😂❤ priceless ❤️🎈... love seeing ty,positive
That cat is NOT sniffing that dog; it is whispering threats of interrupted naps and vengeance.,negative
"Ik I did, my Bolt. 6 year old chihuahua mix that we were suppose to just foster till he found an owner. Lost his previous owner who passed away and their son couldn't care for him enough because of work that he escaped and ran away from home. He's now 17 years old with a spring still in his step. He came into my life when entering my early 20's was a miserable time, timid but adoring of attention. Gave me enough joy to accept him into my own care.",positive
All wars and electric eel or worse an electric eel what if they bring back a snapping turtle all worst an electric eel,negative
Cat thought someone is sick and screaming with pain.,negative
"Literally Roblox haha, i love Roblox i play it everyday 😃",positive
This AI is so bad I can’t believe it has this many likes. AWFUL AWFUL AWFUL,negative
Oh my goodness look at that beautiful face,positive
They slap everything and anyone and all creatures great & small! 😅,positive
"Of course. The first thing I think when I hear noises outside my front door is, “Get the phone out and start filming. Oh, an unknown dog. I’ll just film the whole thing…” Who are you trying to fool?! How can anyone put puppies through such torture just for clicks? Shame on you.",negative
wasting a scam callers time with a bird is next level.,negative
That sounds bad I dont like it,negative
"A.I folks,  but this is cute",positive
Its smart having the person behind the camera give the signals you can see the dogs attention is directly on them you should add a thirda person yo hold the camera and make it better you have the person giving comands just off to the left side of the camera so it makes the dog look more like her looking at the person talking instead of the camera/ command giver,positive
You should really stop stealing other peoples content.,negative
I would be dead from multiple heart attacks. 😭,negative
No wonder I’d be hearing trees falling in the middle of the night. These little goofs are hard at work.😂😂😂,negative
Ruined it with the dumb sound in between clips,negative
😢😢😢😢 take them home love them—— ppl don’t deserve animals…,positive
The most precious little soul!❤🥹👍🏻🎅👍🏻,positive
Please support me🎉❤,positive
Cat at 4: I LIED SORRY LET ME OUT THIS ROOM IM SCARED OF MISE,negative
I love how he gave the stone value by showing it was perfectly chewable and he was pretended to be momentarily reluctant to give it up 😅,positive
The heartbroken moment is when i release its ai💔,negative
"@justafloridamanfromthe75thRR  well now I'm even more upset that I gave my baby raven I saved to a wildlife rescue... And i was already upset, but I was told its illegal to keep it...",negative
He’s behaving like he pays the bills ! Awesome !,positive
Dang that smile is awesome :),positive
"They’re so adorable 🥰,It is nice to love them like humans because they mean no harm to those who have pure heart towards them,  how are you Susan? Happy new year, I’m wishing you and your family all the best in good health🩵🙏 I tried making you my friend but it’s not working I guess you should try from your end by checking my description for my email and send me a email..Please I hope there’s no problem being your friend",positive
"like, put your phone down and go get kitten out of there so it doesn't get hurt or gets even more stress than it already has, no?  it's kinda one thing where a cat falls down from a bad jump on a video, but when it's smth that can be stopped and the person behind it all chooses to just.. film it..? :(",negative
Today is exactly 1 month I have to live life without this dog. I'm devastated.,negative
I LOVE LION!,positive
"​ @faturechi  Rubbish. They may survive, but broken bones and internal injuries are common in falls from high rise buildings.",negative
I bet if no one is there they could really fight,negative
I'm pretty sure it's just a camera that went onto night mode,positive
Evil monkey 🐒 🐵 🙈,negative
How convenient to be recording at the exact time.  😂  I worry if the dog was let out in the rain to shoot the video,negative
❤❤❤❤❤❤ 😂😂😂😂😂  dog watching the Ultimate Fighting Championship! And the winner is?,positive
I love dogs❤🐕🐕‍🦺🐶❤,positive
"Aw heck no.    I remember that music....I remember no catnip and no meow mix ,  Stop playing  barbera!!",negative
Poor kitty cats. Some of that had to really hurt. 😢❤,negative
The way the water makes its fur look is awesome,positive
This was awesome ❤.,positive
The Pitbull WANTED to go to the dogpark :D,positive
I love otters.,positive
It's hard to watch dog cat duck videos when I became homeless on May 16  they new how to break me killed every pet  lvme,negative
Same. I’ll be stuck in the Same house alone when my kids leave & I’ll be lonely & depressed in my same old house,negative
"Careful because these kitty's can really hurt themselves,  like getting bruised & bang up even break a bone, they are experts in hiding pain , 😿🙀",negative
During the summer nights the racoons and stray cats all eat together!   Occasionally the skunk and opposium join the fun too!     Last night it rained really hard so i put the food in the garage and left the door open.    They didn't each much so tonight will probably be a 12 raccoon nigjt 😂,positive
The was the best video I’ve ever seen!,positive
"My calico would weave between the bars of our stairwell like it was a game, but would always wait for us to look at her first before doing it specifically to get a reaction out of us. If I went downstairs and she was upstairs, she would hook her hind legs around the bars and hang upside down like a bat to reach my head as I was walking up, typically to get a reaction out of us. So we weaved netting around every bar in the banister to keep her from being able to do that. She figured out how to shimmy the net up to slid underneath it (even though it was tacked down into the wooden frame) and sit on the inside of the net making it impossible for us to grab her while she straddled the railing. She just enjoyed the comedy of getting a reaction out of us.",positive
Double tap and enjoy liking my comment,positive
It's actually not uncommon for beavers to be injured or killed in logging accidents,negative
"Some years ago I  did the same to my cat and I saw how much she hated it. She went on straight attacking me. Now I correct her without making her feel attacked, I love  our relationship❤",negative
Turtle: FREE SCHELP FREE SCHELP!,positive
Im dead,negative
Fake AI- makes me crazy.,negative
Pretty Awesome 💯😎❤❤❤,positive
classic cat :D,positive
The worst she can say is no.,negative
Thats Dead can dance,negative
You are an amazing human being in this universe ❤❤❤❤ we are always with you dear 💞💞💞,positive
I’ve watched this a long time ago and I didn’t realize the background it was Demon slayer and I’m in love with Demon slayer,positive
"''oh wait its that my pond sorry i was wrong'' bro that was funny like this one ""i trused you cuz ur wearing crocs"" and this one ""what is this roblox",positive
poor blue stop being so rude and mean to him,negative
"Papa, no not again. I’m gonna die here. Got me on the floor.",negative
"I love corvids, magpies are my favorite",positive
LOL I CAN NOT STOP LAGHING DONT TOC MY PHONE,positive
It's OTTER INTELLIGENCE  CUTE 💥,positive
🤣🤣🤣🤣🤣🤣🤣 dude this kills me every time 🤣🤣🤣🤣☠️,negative
It's nice to see the cats treating him just like they treat another cat. Smack!💥,positive
"In my experience, you’d be better off getting the dog you want, not the dog you’re offered. I personally have rescued 3 dogs and im never doing it again, the next one will be bought as a puppy from a breeder.",positive
I know.  Poor kitty.  Stop the VIDEO!!’,negative
Dog years are a lie. Dogs waste no time.,negative
I've watched this probably about unhealthy amount of time and it even brought tears to my eyes I don't even know why I'm crying it's just too cute.,negative
sweet lovers,positive
​please report the original video for animal abuse!  No kittens can be seen in this one. I already wondered why she wants to get on that roof so desperately.,negative
It's so true though why does the voice fit it,positive
"I think they've been associated a lot with d3ath and carrion. After battles or disasters they tend to show up which can be very traumatic, and that fear and natural recoil people have of anything like rot or disease.",negative
Otters are vile creatures and violent,negative
these cat vids or shorts make me cry my cat died before 1 year old 😭😭😭,negative
Totally agree. Baby snapping turtle is fine.  Some people.  Somewhat excited I'm witnessing a moment in baby-snapping-turtle life.  Haven't seen that many baby snapping turtles.,positive
❤❤❤ sooooo CUTE !!!!,positive
his new friend so cute thank you for keeping him,positive
Love cat🎉⭐🫶🏻🫂,positive
"You are a great being of light, allowing those angels to come into your life",positive
Perfect to be true dramas ..seems to be the new ai thousands likes,positive
This is AI generated but the guy had heartwarming care for the dogs ❤,positive
"Yeah this is killing me, some of those falls made me feel sick. I knew someone with a cat who jumped off the stairs like that and he dislocated both of his shoulders",negative
These animals remind me why I prefer living alone now. Too much noise and chaos - I need peace and quiet in my space,negative
"Always upset at how I follow rules. A buddy of mines cat had kittens and a co worker was willing to take one. I offered to take him to my co worker. The kittens mom’s name was Sunday, like a chocolate Sunday. This kitten was a bit greyer than his mom. As I was driving on the highway for about 20 miles this kitten got on my shoulder and rode the whole way like that. Only meowing when there was no music. Then when I arrived at the co workers house the kitten didn’t want to let me go.  I cried on the way home because I felt that cat and I had a small connection. And because my apartment doesn’t allow pets I had to give it up. I named him rocky, like rocky road ice cream to suit his mom’s name, and his bravery for riding on my shoulder. My co worker kept the name of the little guy I gave. He’s a happy cat now who hunts in the country. Just wish I could have kept him",positive
"No, if I have those and one dog is complaining that wants to go on the top bunk bed I’m a tell my other dogs to. You let him you’ll let him for being in the wrong bed and complaining they’re gonna throw him bed",negative
"The videos of cats attacking a dangerous dog to save their canine, ... or a dog rescuing 'his' cat from an attacker -- and don't get me started on cats saving their tiny human,.... GOSH",negative
I love crows the UK had a great documentary that I got to see on PBS over here in the states about crows and boy did I learn alot.,positive
How adorable and smart! ❤❤❤,positive
😂😂😂😂❤❤❤❤ I adore them all!! Huskies are very vocal!! 😂,positive
Stop with the AI fake content,negative
Scaring the kitten down the steps isn't funny. Maybe I should push you down them and hit record,negative
Dalmations are evil you cannot and will not change my mind,negative
"I heard “NO MORE, no more!!!!!” 😂😂",negative
Somebody save the cat !!!!,positive
WOW so cute❤,positive
Fake fake fake,negative
You will be so happy 😊 they will change your life ❤️,positive
😂 so cute! Smart rooster ! I need that rooster to wake me up for work.!😊,positive
I just love this 😂,positive
It’s awesome how the groundhog lets the slap register and decided not to choose violence as their teeth could extensive damage to a feline.,positive
The first cat looks like he's saying to himself...and they're the intelligent ones 😂😂😂,positive
The cat is sad coz it’s not getting likes 　　　　　／＞　　フ 　　　　　| 　_　 _ l 　 　　　／` ミ＿xノ 　　 　 /　　　 　 | 　　　 /　 ヽ　　 ﾉ 　 　 │　　| | |,negative
They are such an amazing family. Ur babies are so funny and beautiful,positive
These people had better not have left these good dogs hanging!,positive
my tabby cat emi would go potty every time with out fail. Yet with me she would just walk in say hi then sit there 😂these videos do make me miss my girl cats though ❤,negative
"Cats that stand up for themselves, especially with attitude, are the Best.",positive
I actually have a crow tattooed the entire right side of my head. Theyre awesome. Genius actually.,positive
When cats are angry i want to tease them more. 🥹😍,negative
"They’re so adorable 🥰,It is nice to love them like humans because they mean no harm to those who have pure heart towards them,  how are you Gina? Happy new year, I’m wishing you and your family all the best in good health🩵🙏 I tried making you my friend but it’s not working I guess you should try from your end by checking my description for my email and send me a email..Please I hope there’s no problem being your friend",positive
How cute are these I cant wait to have my own when I grow up!,positive
"You can hear the river in the back you know my boy is FUMING ""absolutely not on my watch this Insolence WILL not be tolerated""- the beaver probably",negative
"To be completely fair to the cat, while beautiful sounding, this section of the song does resemble those nasally drawn out warning sounds that cats make.",positive
The one that actually fell all the way down😭😭. I would be so upset and hate myself for not being able to catch him,negative
“I’m gonna die here!!”,negative
That's a DUMP TRUCK girl!!!,negative
awesome!!,positive
this is abuse btw,negative
Pretty sure cats don’t like being alive,positive
Last dog had a war cry that's epic,negative
"I love this, mine is the same way 😂😂😂",positive
I know it wouldn’t be posted if they weren’t fine but it’s still stressful. I’ve known a cat who died from a fall like the ones off the railing.,negative
Kung fu panda,negative
"beautiful creatures, these babies can’t wait to have some fun with their parents ❤",positive
He tried his best! PS: cats are adorable,positive
Love these hahah,positive
That scream will never get old haha,negative
The poor cat crying thinks his Daddy is going to drown he does not know any better. Poor little thing the guy looks frustrated but his cat is really worried about him poor baby 🙀🙀🙀,negative
Ha ha ha,positive
AWESOME,positive
"Touching, but fake.",negative
Long time ago i gifted my wife with a little rooster... i was so happy but  after couple days  my wife cooked it because every morning  Noodle was singing close to the window of the bedroom. Afet all Noodle tasted 😋 good.,positive
These are not funny. Some of these cats were really hurt,negative
I worry about some of these poor kitties.,negative
Gorgeous baby eyes,positive
STOP CRYING,negative
I don't think you can hurt a cat !!!😮,negative
Cats suffer from intense hatred,negative
"I swear, like 90% of having a cat or a dog is stopping them from accidentally hurting themselves. It's totally worth it though.",negative
Love this 🫱🫲,positive
So beautiful ❤❤❤❤❤❤❤❤❤,positive
The gen Zers who just scream at the cats that they are going to fall but cant stop them bevause they are too busy making sure they get a good video....,positive
"cats are independent, don't need taking  for walks morning and night, and they've evolved to bury their poo. Unlike Dogs. Not everyone likes them of course as they attack birds",negative
I think number 4 is the clear winner here. Everyone appreciates that calm intensity.,positive
"The 3rd one in my opinion was not even funny, that cat could have broken a bone or somthing -_-",negative
No no no!! That deep voice!!! 😶‍🌫️😶‍🌫️,negative
Ha finally these days something awesome is real and not from AI❤,positive
This is horrible!! Why post the cat jumping and falling for that long of time!!? That's NOT FUNNY!!! THAT'S HORRIBLE!!!,negative
"Imagine how confusing this must be from the scammer's perspective. Someone old lady picks up the phone, answers with a confused ""Hello??"" like she is using the mobile phone for the first time in her life, proceeds to make an accurate 'call ended' sound in response to your question, TAKES OFF or is abducted by a bird,  and then just hangs up.",negative
I HAVE A BLACK CAT NAMED RAVEN AFTER THE EDGAR ALLAN POE POEM. SHE DEFINITELY LETS YOU IF SHE LIKES YOU IS NOT HISSES IF SHE SENSES IF YOU ARE NOT A COOL PERSON OR OUT TO HURT US. NO HISS YOU ARE OK . I KNOW THIS CUZ I SAW IT FIRST HAND MORE THAN ONCE .SHE WAS OK WITH THIS GHY I KNOW WHO USED TO CARE FOR HER IF I WENT AWAY.LAST TIME HE WATCHED HER HE STOLE MOST OF HER LITTER HER FOOD MY COFFEE SUGAR..SINCE THEN IF HE COMES HERE SHE HISSES AT HIM ANG HE IS SCARED!!LOL,positive
CROWS ARE  GENIUSES WHEN IT COMES TO ANIMALS.  theyre so awesome. I learned like 2 years ago just how smart they are. How cool is that.,positive
I'm in love,positive
She picked you. You'll be more than happy that you kept ALL of them.,positive
"Wow, I am surprised the groundhog is able to be around the cat's & they let him... Luv this!!!💗💗💗💗",positive
No wonder Cat and The Hat Got Mad In The Movie 😂😂😂,negative
Thats AI im pretty sure. Stay sharp y'all,positive
@smiddyswagg3077 the sound the rock made every time it touched anything was crazy loud and clear as well lol,positive
I love the demon slayer walls,positive
So funny and cute,positive
"""What is this roblox"" got me killing in the ground",negative
"hahahha love it, anybody even know what egyptian music is",positive
IS KILLING ME,negative
Bless u all the time good person❤,positive
Ummm you don’t care about your cats if you’re filming them and telling them to stop you’ll fall when you should be putting the phone down to help them. WHATTTT?!,positive
Yuck cats are so gross 😂,negative
"You can whisper the word ""do"" and our pup will come flying to the door out of a dead sleep across the whole house. I think he'll tear the door down one day. 😂",negative
